traffic_volume,rain_1h,snow_1h,clouds_all,hour,day_of_week,month,year,day_of_year,is_weekend,congestion_level,temp_celsius,is_holiday,weather_main_encoded,weather_description_encoded
1015,0.0,0.0,1,23,2,10,2012,277,0,Low,12.110000000000014,1,0,27
598,0.0,0.0,1,0,3,10,2012,278,0,Low,11.400000000000034,1,0,27
369,0.0,0.0,1,1,3,10,2012,278,0,Low,10.32000000000005,1,0,27
312,0.0,0.0,1,2,3,10,2012,278,0,Low,10.020000000000039,1,0,27
367,0.0,0.0,1,3,3,10,2012,278,0,Low,8.890000000000043,1,0,27
835,0.0,0.0,1,4,3,10,2012,278,0,Low,8.54000000000002,1,0,27
2726,0.0,0.0,1,5,3,10,2012,278,0,Low,8.170000000000016,1,0,27
5689,0.0,0.0,1,6,3,10,2012,278,0,Medium,7.590000000000032,1,0,27
6990,0.0,0.0,1,7,3,10,2012,278,0,High,7.420000000000016,1,0,27
5985,0.0,0.0,1,8,3,10,2012,278,0,Medium,8.710000000000036,1,0,27
5309,0.0,0.0,1,9,3,10,2012,278,0,Medium,11.830000000000041,1,0,27
4603,0.0,0.0,1,10,3,10,2012,278,0,Medium,16.03000000000003,1,0,27
4884,0.0,0.0,1,11,3,10,2012,278,0,Medium,18.400000000000034,1,0,27
5104,0.0,0.0,1,12,3,10,2012,278,0,Medium,21.82000000000005,1,0,27
5178,0.0,0.0,1,13,3,10,2012,278,0,Medium,23.230000000000018,1,0,27
5501,0.0,0.0,1,14,3,10,2012,278,0,Medium,24.170000000000016,1,0,27
5713,0.0,0.0,1,15,3,10,2012,278,0,Medium,25.02000000000004,1,0,27
6292,0.0,0.0,20,16,3,10,2012,278,0,High,24.910000000000025,1,1,4
6057,0.0,0.0,20,17,3,10,2012,278,0,High,24.52000000000004,1,1,4
4907,0.0,0.0,40,18,3,10,2012,278,0,Medium,23.210000000000036,1,1,24
3503,0.0,0.0,40,19,3,10,2012,278,0,Medium,20.700000000000045,1,1,24
3037,0.0,0.0,40,20,3,10,2012,278,0,Medium,19.28000000000003,1,1,24
2822,0.0,0.0,75,21,3,10,2012,278,0,Low,18.620000000000005,1,1,2
1992,0.0,0.0,75,22,3,10,2012,278,0,Low,18.210000000000036,1,1,2
1166,0.0,0.0,75,23,3,10,2012,278,0,Low,17.970000000000027,1,1,2
627,0.0,0.0,75,0,4,10,2012,279,0,Low,17.480000000000018,1,1,2
388,0.0,0.0,40,1,4,10,2012,279,0,Low,17.310000000000002,1,1,24
368,0.0,0.0,0,3,4,10,2012,279,0,Low,16.110000000000014,1,0,27
2489,0.0,0.0,75,5,4,10,2012,279,0,Low,10.060000000000002,1,1,2
5537,0.0,0.0,90,6,4,10,2012,279,0,Medium,9.090000000000032,1,1,19
6628,0.0,0.0,90,7,4,10,2012,279,0,High,8.54000000000002,1,1,19
5534,0.0,0.0,90,8,4,10,2012,279,0,Medium,7.420000000000016,1,1,19
5403,0.0,0.0,75,9,4,10,2012,279,0,Medium,6.8700000000000045,1,1,2
4770,0.0,0.0,75,10,4,10,2012,279,0,Medium,6.960000000000036,1,1,2
5217,0.0,0.0,90,11,4,10,2012,279,0,Medium,6.850000000000023,1,1,19
5870,0.0,0.0,90,12,4,10,2012,279,0,Medium,7.3799999999999955,1,1,19
5967,0.0,0.0,75,13,4,10,2012,279,0,Medium,8.28000000000003,1,1,2
6108,0.0,0.0,90,14,4,10,2012,279,0,High,8.629999999999995,1,1,19
6128,0.0,0.0,90,15,4,10,2012,279,0,High,8.760000000000048,1,1,19
6069,0.0,0.0,90,16,4,10,2012,279,0,High,8.580000000000041,1,1,19
6169,0.0,0.0,90,17,4,10,2012,279,0,High,8.270000000000039,1,1,19
5384,0.0,0.0,90,18,4,10,2012,279,0,Medium,7.720000000000027,1,1,19
4063,0.0,0.0,90,19,4,10,2012,279,0,Medium,7.0,1,1,19
3364,0.0,0.0,90,20,4,10,2012,279,0,Medium,6.6299999999999955,1,1,19
2971,0.0,0.0,75,21,4,10,2012,279,0,Low,6.5,1,1,2
2450,0.0,0.0,40,22,4,10,2012,279,0,Low,6.07000000000005,1,1,24
1832,0.0,0.0,40,23,4,10,2012,279,0,Low,5.910000000000025,1,1,24
1231,0.0,0.0,90,0,5,10,2012,280,1,Low,5.660000000000025,1,1,19
718,0.0,0.0,90,1,5,10,2012,280,1,Low,5.400000000000034,1,1,19
545,0.0,0.0,90,2,5,10,2012,280,1,Low,5.439999999999998,1,1,19
411,0.0,0.0,75,4,5,10,2012,280,1,Low,3.840000000000032,1,1,2
688,0.0,0.0,20,5,5,10,2012,280,1,Low,3.2000000000000455,1,1,4
1352,0.0,0.0,1,6,5,10,2012,280,1,Low,2.25,1,0,27
2072,0.0,0.0,1,7,5,10,2012,280,1,Low,2.0200000000000387,1,0,27
3342,0.0,0.0,1,8,5,10,2012,280,1,Medium,1.8400000000000318,1,0,27
4258,0.0,0.0,40,9,5,10,2012,280,1,Medium,1.9399999999999977,1,1,24
4861,0.0,0.0,20,10,5,10,2012,280,1,Medium,3.730000000000018,1,1,4
5191,0.0,0.0,20,11,5,10,2012,280,1,Medium,4.890000000000043,1,1,4
5669,0.0,0.0,40,12,5,10,2012,280,1,Medium,5.930000000000007,1,1,24
5074,0.0,0.0,75,13,5,10,2012,280,1,Medium,6.970000000000027,1,1,2
5025,0.0,0.0,75,14,5,10,2012,280,1,Medium,7.100000000000023,1,1,2
5153,0.0,0.0,75,15,5,10,2012,280,1,Medium,6.850000000000023,1,1,2
5024,0.0,0.0,90,16,5,10,2012,280,1,Medium,5.910000000000025,1,1,19
4779,0.0,0.0,90,17,5,10,2012,280,1,Medium,5.760000000000048,1,1,19
4362,0.0,0.0,90,18,5,10,2012,280,1,Medium,5.240000000000009,1,1,19
3860,0.0,0.0,90,19,5,10,2012,280,1,Medium,5.010000000000048,1,1,19
3160,0.0,0.0,90,20,5,10,2012,280,1,Medium,5.010000000000048,1,1,19
2992,0.0,0.0,90,21,5,10,2012,280,1,Low,4.78000000000003,1,1,19
3202,0.0,0.0,90,22,5,10,2012,280,1,Medium,3.75,1,1,19
1941,0.0,0.0,75,23,5,10,2012,280,1,Low,3.1899999999999977,1,1,2
1233,0.0,0.0,75,0,6,10,2012,281,1,Low,2.9600000000000364,1,1,2
323,0.0,0.0,90,3,6,10,2012,281,1,Low,2.580000000000041,1,1,19
312,0.0,0.0,90,4,6,10,2012,281,1,Low,2.5,1,1,19
627,0.0,0.0,75,5,6,10,2012,281,1,Low,2.3600000000000136,1,1,2
1508,0.0,0.0,90,6,6,10,2012,281,1,Low,1.900000000000034,1,1,19
1539,0.0,0.0,90,7,6,10,2012,281,1,Low,1.6200000000000045,1,1,19
2232,0.0,0.0,75,8,6,10,2012,281,1,Low,1.6200000000000045,1,1,2
4568,0.0,0.0,75,9,6,10,2012,281,1,Medium,2.400000000000034,1,1,2
4624,0.0,0.0,75,10,6,10,2012,281,1,Medium,3.090000000000032,1,1,2
4529,0.0,0.0,90,11,6,10,2012,281,1,Medium,3.8600000000000136,1,1,19
5139,0.0,0.0,90,12,6,10,2012,281,1,Medium,4.28000000000003,1,1,19
6640,0.0,0.0,90,13,6,10,2012,281,1,High,5.300000000000011,1,1,19
6589,0.0,0.0,90,14,6,10,2012,281,1,High,6.1200000000000045,1,1,19
4429,0.0,0.0,90,15,6,10,2012,281,1,Medium,6.1200000000000045,1,1,19
4329,0.0,0.0,90,16,6,10,2012,281,1,Medium,6.2900000000000205,1,1,19
3833,0.0,0.0,90,17,6,10,2012,281,1,Medium,6.170000000000016,1,1,19
4015,0.0,0.0,90,18,6,10,2012,281,1,Medium,6.1200000000000045,1,1,19
3382,0.0,0.0,90,19,6,10,2012,281,1,Medium,4.960000000000036,1,1,19
2815,0.0,0.0,75,20,6,10,2012,281,1,Low,3.640000000000043,1,1,2
2110,0.0,0.0,90,21,6,10,2012,281,1,Low,2.580000000000041,1,1,19
1555,0.0,0.0,75,22,6,10,2012,281,1,Low,1.7300000000000182,1,1,2
959,0.0,0.0,20,23,6,10,2012,281,1,Low,0.7700000000000387,1,1,4
455,0.0,0.0,20,0,0,10,2012,282,0,Low,-0.06999999999999318,1,1,4
336,0.0,0.0,20,1,0,10,2012,282,0,Low,-0.5299999999999727,1,1,4
265,0.0,0.0,1,2,0,10,2012,282,0,Low,-1.3700000000000045,1,0,27
314,0.0,0.0,1,3,0,10,2012,282,0,Low,-2.099999999999966,1,0,27
779,0.0,0.0,1,4,0,10,2012,282,0,Low,-2.519999999999982,1,0,27
2571,0.0,0.0,1,5,0,10,2012,282,0,Low,-2.819999999999993,1,0,27
5563,0.0,0.0,20,6,0,10,2012,282,0,Medium,-3.5399999999999636,1,1,4
6676,0.0,0.0,20,7,0,10,2012,282,0,High,-3.1399999999999864,1,1,4
5966,0.0,0.0,20,8,0,10,2012,282,0,Medium,-1.919999999999959,1,1,4
4832,0.0,0.0,20,9,0,10,2012,282,0,Medium,0.5600000000000023,1,1,4
4395,0.0,0.0,20,10,0,10,2012,282,0,Medium,3.6200000000000045,1,1,4
4411,0.0,0.0,20,11,0,10,2012,282,0,Medium,6.32000000000005,1,1,4
4648,0.0,0.0,1,12,0,10,2012,282,0,Medium,6.689999999999998,1,0,27
4602,0.0,0.0,40,13,0,10,2012,282,0,Medium,9.189999999999998,1,1,24
5125,0.0,0.0,40,14,0,10,2012,282,0,Medium,9.79000000000002,1,1,24
5502,0.0,0.0,1,15,0,10,2012,282,0,Medium,10.330000000000041,1,0,27
5979,0.0,0.0,1,16,0,10,2012,282,0,Medium,11.180000000000007,1,0,27
5663,0.0,0.0,40,17,0,10,2012,282,0,Medium,11.330000000000041,1,1,24
4259,0.0,0.0,40,18,0,10,2012,282,0,Medium,11.080000000000041,1,1,24
3069,0.0,0.0,20,19,0,10,2012,282,0,Medium,8.840000000000032,1,1,4
2378,0.0,0.0,1,20,0,10,2012,282,0,Low,6.660000000000025,1,0,27
2030,0.0,0.0,1,21,0,10,2012,282,0,Low,6.2000000000000455,1,0,27
1400,0.0,0.0,1,22,0,10,2012,282,0,Low,5.75,1,0,27
917,0.0,0.0,1,23,0,10,2012,282,0,Low,5.310000000000002,1,0,27
515,0.0,0.0,1,0,1,10,2012,283,0,Low,4.6299999999999955,1,0,27
302,0.0,0.0,1,1,1,10,2012,283,0,Low,4.1200000000000045,1,0,27
251,0.0,0.0,1,2,1,10,2012,283,0,Low,4.32000000000005,1,0,27
798,0.0,0.0,20,4,1,10,2012,283,0,Low,3.82000000000005,1,1,4
2678,0.0,0.0,40,5,1,10,2012,283,0,Low,3.3700000000000045,1,1,24
5733,0.0,0.0,40,6,1,10,2012,283,0,Medium,3.4500000000000455,1,1,24
6449,0.0,0.0,75,7,1,10,2012,283,0,High,4.160000000000025,1,1,2
5765,0.0,0.0,90,8,1,10,2012,283,0,Medium,5.230000000000018,1,1,19
5599,0.0,0.0,90,9,1,10,2012,283,0,Medium,6.2000000000000455,1,1,19
4534,0.0,0.0,90,10,1,10,2012,283,0,Medium,8.220000000000027,1,1,19
4691,0.0,0.0,90,11,1,10,2012,283,0,Medium,9.960000000000036,1,1,19
5067,0.0,0.0,75,12,1,10,2012,283,0,Medium,10.930000000000007,1,1,2
5030,0.0,0.0,75,13,1,10,2012,283,0,Medium,11.990000000000009,1,1,2
5300,0.0,0.0,90,14,1,10,2012,283,0,Medium,13.200000000000045,1,1,19
5777,0.0,0.0,100,15,1,10,2012,283,0,Medium,14.080000000000041,1,6,13
6349,0.0,0.0,90,16,1,10,2012,283,0,High,15.379999999999995,1,1,19
6127,0.0,0.0,90,17,1,10,2012,283,0,High,17.220000000000027,1,1,19
4460,0.0,0.0,90,18,1,10,2012,283,0,Medium,16.980000000000018,1,1,19
3418,0.0,0.0,75,19,1,10,2012,283,0,Medium,15.710000000000036,1,1,2
2775,0.0,0.0,90,20,1,10,2012,283,0,Low,14.210000000000036,1,1,19
2306,0.0,0.0,90,21,1,10,2012,283,0,Low,11.960000000000036,1,1,19
1846,0.0,0.0,90,22,1,10,2012,283,0,Low,10.310000000000002,1,1,19
947,0.0,0.0,90,23,1,10,2012,283,0,Low,9.300000000000011,1,1,19
494,0.0,0.0,90,0,2,10,2012,284,0,Low,8.730000000000018,1,1,19
332,0.0,0.0,90,1,2,10,2012,284,0,Low,8.629999999999995,1,1,19
261,0.0,0.0,75,2,2,10,2012,284,0,Low,7.939999999999998,1,1,2
361,0.0,0.0,90,3,2,10,2012,284,0,Low,8.020000000000039,1,1,19
5875,0.0,0.0,92,6,2,10,2012,284,0,Medium,8.100000000000023,1,0,27
6793,0.0,0.0,99,7,2,10,2012,284,0,High,8.100000000000023,1,6,13
6793,0.0,0.0,99,7,2,10,2012,284,0,High,8.100000000000023,1,2,11
6283,0.0,0.0,99,8,2,10,2012,284,0,High,6.9500000000000455,1,6,13
6283,0.0,0.0,99,8,2,10,2012,284,0,High,6.9500000000000455,1,2,11
5680,0.0,0.0,99,9,2,10,2012,284,0,Medium,6.460000000000036,1,6,13
5680,0.0,0.0,99,9,2,10,2012,284,0,Medium,6.460000000000036,1,2,11
4632,0.0,0.0,99,10,2,10,2012,284,0,Medium,6.520000000000039,1,0,27
4887,0.0,0.0,1,11,2,10,2012,284,0,Medium,7.0400000000000205,1,0,27
5030,0.0,0.0,75,12,2,10,2012,284,0,Medium,8.939999999999998,1,1,2
5067,0.0,0.0,75,13,2,10,2012,284,0,Medium,9.110000000000014,1,1,2
5227,0.0,0.0,90,14,2,10,2012,284,0,Medium,8.900000000000034,1,1,19
5610,0.0,0.0,90,15,2,10,2012,284,0,Medium,8.439999999999998,1,1,19
6286,0.0,0.0,81,16,2,10,2012,284,0,High,8.080000000000041,1,0,27
4775,0.0,0.0,81,18,2,10,2012,284,0,Medium,9.450000000000045,1,0,27
3340,0.0,0.0,81,19,2,10,2012,284,0,Medium,9.450000000000045,1,0,27
3013,0.0,0.0,81,20,2,10,2012,284,0,Medium,9.450000000000045,1,0,27
2603,0.0,0.0,81,21,2,10,2012,284,0,Low,9.450000000000045,1,0,27
1910,0.0,0.0,81,22,2,10,2012,284,0,Low,9.450000000000045,1,0,27
1037,0.0,0.0,81,23,2,10,2012,284,0,Low,9.450000000000045,1,0,27
347,0.0,0.0,1,1,3,10,2012,285,0,Low,0.75,1,0,27
350,0.0,0.0,75,3,3,10,2012,285,0,Low,1.25,1,1,2
850,0.0,0.0,75,4,3,10,2012,285,0,Low,0.9000000000000341,1,1,2
2791,0.0,0.0,40,5,3,10,2012,285,0,Low,0.5600000000000023,1,1,24
5809,0.0,0.0,1,6,3,10,2012,285,0,Medium,-0.48999999999995225,1,0,27
6798,0.0,0.0,1,7,3,10,2012,285,0,High,-0.5,1,0,27
6304,0.0,0.0,1,8,3,10,2012,285,0,High,-0.6299999999999955,1,0,27
5291,0.0,0.0,20,9,3,10,2012,285,0,Medium,2.0400000000000205,1,1,4
4638,0.0,0.0,1,10,3,10,2012,285,0,Medium,2.1899999999999977,1,0,27
5557,0.0,0.0,50,14,3,10,2012,285,0,Medium,10.950000000000045,1,0,27
5818,0.0,0.0,50,15,3,10,2012,285,0,Medium,10.950000000000045,1,0,27
6272,0.0,0.0,75,16,3,10,2012,285,0,High,10.629999999999995,1,1,2
5944,0.0,0.0,75,17,3,10,2012,285,0,Medium,10.370000000000005,1,1,2
4949,0.0,0.0,90,18,3,10,2012,285,0,Medium,10.170000000000016,1,1,19
3511,0.0,0.0,90,19,3,10,2012,285,0,Medium,8.910000000000025,1,1,19
3039,0.0,0.0,90,20,3,10,2012,285,0,Medium,8.800000000000011,1,1,19
2679,0.0,0.0,90,21,3,10,2012,285,0,Low,8.660000000000025,1,1,19
2094,0.0,0.0,90,22,3,10,2012,285,0,Low,9.010000000000048,1,1,19
1284,0.0,0.0,90,23,3,10,2012,285,0,Low,9.379999999999995,1,1,19
630,0.0,0.0,90,0,4,10,2012,286,0,Low,10.760000000000048,1,1,19
410,0.0,0.0,90,1,4,10,2012,286,0,Low,11.490000000000009,1,1,19
331,0.0,0.0,90,2,4,10,2012,286,0,Low,11.460000000000036,1,1,19
372,0.0,0.0,72,3,4,10,2012,286,0,Low,10.03000000000003,1,2,11
739,0.0,0.0,72,4,4,10,2012,286,0,Low,9.110000000000014,1,6,13
2561,0.0,0.0,72,5,4,10,2012,286,0,Low,7.6200000000000045,1,2,11
5586,0.0,0.0,75,6,4,10,2012,286,0,Medium,5.3799999999999955,1,1,2
6992,0.0,0.0,75,7,4,10,2012,286,0,High,4.490000000000009,1,1,2
5860,0.0,0.0,90,8,4,10,2012,286,0,Medium,4.75,1,1,19
5230,0.0,0.0,90,9,4,10,2012,286,0,Medium,5.03000000000003,1,1,19
4864,0.0,0.0,75,10,4,10,2012,286,0,Medium,6.140000000000043,1,1,2
5146,0.0,0.0,75,11,4,10,2012,286,0,Medium,7.300000000000011,1,1,2
5526,0.0,0.0,40,12,4,10,2012,286,0,Medium,7.800000000000011,1,1,24
5383,0.0,0.0,40,13,4,10,2012,286,0,Medium,8.590000000000032,1,1,24
5758,0.0,0.0,75,14,4,10,2012,286,0,Medium,8.689999999999998,1,1,2
5889,0.0,0.0,75,15,4,10,2012,286,0,Medium,9.300000000000011,1,1,2
6057,0.0,0.0,75,16,4,10,2012,286,0,High,9.050000000000011,1,1,2
6028,0.0,0.0,40,17,4,10,2012,286,0,High,8.390000000000043,1,1,24
5257,0.0,0.0,20,18,4,10,2012,286,0,Medium,7.060000000000002,1,1,4
1897,0.0,0.0,56,23,4,10,2012,286,0,Low,9.050000000000011,1,0,27
1335,0.0,0.0,1,0,5,10,2012,287,1,Low,-0.5699999999999932,1,0,27
769,0.0,0.0,1,1,5,10,2012,287,1,Low,-1.089999999999975,1,0,27
570,0.0,0.0,1,2,5,10,2012,287,1,Low,-2.159999999999968,1,0,27
413,0.0,0.0,20,3,5,10,2012,287,1,Low,-2.859999999999957,1,1,4
399,0.0,0.0,1,4,5,10,2012,287,1,Low,-3.669999999999959,1,0,27
740,0.0,0.0,1,5,5,10,2012,287,1,Low,-3.8799999999999955,1,0,27
1420,0.0,0.0,1,6,5,10,2012,287,1,Low,-4.239999999999952,1,0,27
2220,0.0,0.0,75,7,5,10,2012,287,1,Low,-4.169999999999959,1,1,2
3479,0.0,0.0,40,8,5,10,2012,287,1,Medium,-3.919999999999959,1,1,24
4546,0.0,0.0,40,9,5,10,2012,287,1,Medium,-0.5399999999999636,1,1,24
4579,0.0,0.0,20,10,5,10,2012,287,1,Medium,3.6299999999999955,1,1,4
4438,0.0,0.0,1,11,5,10,2012,287,1,Medium,6.07000000000005,1,0,27
4623,0.0,0.0,1,12,5,10,2012,287,1,Medium,7.2000000000000455,1,0,27
4440,0.0,0.0,1,13,5,10,2012,287,1,Medium,8.660000000000025,1,0,27
4495,0.0,0.0,1,14,5,10,2012,287,1,Medium,9.900000000000034,1,0,27
4483,0.0,0.0,1,15,5,10,2012,287,1,Medium,10.810000000000002,1,0,27
4591,0.0,0.0,1,16,5,10,2012,287,1,Medium,11.379999999999995,1,0,27
4477,0.0,0.0,1,17,5,10,2012,287,1,Medium,11.29000000000002,1,0,27
4221,0.0,0.0,1,18,5,10,2012,287,1,Medium,10.490000000000009,1,0,27
3672,0.0,0.0,20,19,5,10,2012,287,1,Medium,8.700000000000045,1,1,4
3015,0.0,0.0,1,20,5,10,2012,287,1,Medium,8.230000000000018,1,0,27
2769,0.0,0.0,75,21,5,10,2012,287,1,Low,8.689999999999998,1,1,2
2875,0.0,0.0,90,22,5,10,2012,287,1,Low,9.080000000000041,1,1,19
1931,0.0,0.0,90,23,5,10,2012,287,1,Low,9.03000000000003,1,1,19
1309,0.0,0.0,90,0,6,10,2012,288,1,Low,9.340000000000032,1,1,19
870,0.0,0.0,90,1,6,10,2012,288,1,Low,9.390000000000043,1,1,19
654,0.0,0.0,90,2,6,10,2012,288,1,Low,9.430000000000007,1,1,19
364,0.0,0.0,90,3,6,10,2012,288,1,Low,9.080000000000041,1,1,19
262,0.0,0.0,90,4,6,10,2012,288,1,Low,8.930000000000007,1,1,19
505,0.0,0.0,90,5,6,10,2012,288,1,Low,9.080000000000041,1,1,19
861,0.0,0.0,90,6,6,10,2012,288,1,Low,9.090000000000032,1,1,19
1132,0.0,0.0,90,7,6,10,2012,288,1,Low,9.090000000000032,1,1,19
1797,0.0,0.0,57,8,6,10,2012,288,1,Low,9.090000000000032,1,5,17
2685,0.0,0.0,57,9,6,10,2012,288,1,Low,9.28000000000003,1,2,11
2685,0.0,0.0,57,9,6,10,2012,288,1,Low,9.28000000000003,1,5,17
2685,0.0,0.0,57,9,6,10,2012,288,1,Low,9.28000000000003,1,4,7
3370,0.0,0.0,57,10,6,10,2012,288,1,Medium,9.180000000000007,1,2,11
3370,0.0,0.0,57,10,6,10,2012,288,1,Medium,9.180000000000007,1,5,17
3662,0.0,0.0,57,11,6,10,2012,288,1,Medium,9.670000000000016,1,2,11
3662,0.0,0.0,57,11,6,10,2012,288,1,Medium,9.670000000000016,1,5,17
4076,0.0,0.0,57,12,6,10,2012,288,1,Medium,10.180000000000007,1,5,17
4076,0.0,0.0,57,12,6,10,2012,288,1,Medium,10.180000000000007,1,6,13
4076,0.0,0.0,57,12,6,10,2012,288,1,Medium,10.180000000000007,1,2,11
4128,0.0,0.0,93,13,6,10,2012,288,1,Medium,10.600000000000023,1,6,13
4128,0.0,0.0,93,13,6,10,2012,288,1,Medium,10.600000000000023,1,5,17
4128,0.0,0.0,93,13,6,10,2012,288,1,Medium,10.600000000000023,1,2,11
4358,0.0,0.0,93,14,6,10,2012,288,1,Medium,10.939999999999998,1,5,17
4358,0.0,0.0,93,14,6,10,2012,288,1,Medium,10.939999999999998,1,6,13
4358,0.0,0.0,93,14,6,10,2012,288,1,Medium,10.939999999999998,1,2,11
4342,0.0,0.0,93,15,6,10,2012,288,1,Medium,11.400000000000034,1,5,17
4342,0.0,0.0,93,15,6,10,2012,288,1,Medium,11.400000000000034,1,6,13
4234,0.0,0.0,93,16,6,10,2012,288,1,Medium,11.53000000000003,1,5,17
4271,0.0,0.0,93,17,6,10,2012,288,1,Medium,11.490000000000009,1,6,13
4271,0.0,0.0,93,17,6,10,2012,288,1,Medium,11.490000000000009,1,5,17
4080,0.0,0.0,93,18,6,10,2012,288,1,Medium,11.25,1,5,17
3453,0.0,0.0,93,19,6,10,2012,288,1,Medium,11.020000000000039,1,5,17
2718,0.0,0.0,93,20,6,10,2012,288,1,Low,10.879999999999995,1,5,17
2439,0.0,0.0,93,21,6,10,2012,288,1,Low,10.430000000000007,1,5,17
1819,0.0,0.0,93,22,6,10,2012,288,1,Low,9.890000000000043,1,5,17
1002,0.0,0.0,93,23,6,10,2012,288,1,Low,8.800000000000011,1,5,17
1002,0.0,0.0,93,23,6,10,2012,288,1,Low,8.800000000000011,1,3,5
542,0.0,0.0,93,0,0,10,2012,289,0,Low,8.460000000000036,1,5,17
542,0.0,0.0,93,0,0,10,2012,289,0,Low,8.460000000000036,1,3,5
303,0.0,0.0,85,1,0,10,2012,289,0,Low,8.420000000000016,1,3,5
239,0.0,0.0,85,2,0,10,2012,289,0,Low,8.270000000000039,1,3,5
335,0.0,0.0,85,3,0,10,2012,289,0,Low,8.140000000000043,1,5,17
335,0.0,0.0,85,3,0,10,2012,289,0,Low,8.140000000000043,1,3,5
810,0.0,0.0,85,4,0,10,2012,289,0,Low,7.8700000000000045,1,5,17
810,0.0,0.0,85,4,0,10,2012,289,0,Low,7.8700000000000045,1,3,5
2606,0.0,0.0,85,5,0,10,2012,289,0,Low,7.670000000000016,1,5,17
2606,0.0,0.0,85,5,0,10,2012,289,0,Low,7.670000000000016,1,3,5
5714,0.0,0.0,85,6,0,10,2012,289,0,Medium,7.240000000000009,1,5,17
6798,0.0,0.0,100,7,0,10,2012,289,0,High,7.0400000000000205,1,5,17
6114,0.0,0.0,100,8,0,10,2012,289,0,High,6.670000000000016,1,5,17
5094,0.0,0.0,100,9,0,10,2012,289,0,Medium,6.600000000000023,1,5,17
4473,0.0,0.0,100,10,0,10,2012,289,0,Medium,6.920000000000016,1,5,17
4529,0.0,0.0,90,11,0,10,2012,289,0,Medium,7.170000000000016,1,1,19
4823,0.0,0.0,100,12,0,10,2012,289,0,Medium,8.57000000000005,1,0,27
4872,0.0,0.0,40,13,0,10,2012,289,0,Medium,10.860000000000014,1,1,24
5238,0.0,0.0,1,14,0,10,2012,289,0,Medium,12.730000000000018,1,0,27
5584,0.0,0.0,1,15,0,10,2012,289,0,Medium,13.720000000000027,1,0,27
6246,0.0,0.0,20,16,0,10,2012,289,0,High,14.450000000000045,1,1,4
5957,0.0,0.0,20,17,0,10,2012,289,0,Medium,14.120000000000005,1,1,4
